task,k,condition_a,condition_b,b_match,idlekv,random_k,oldest_k,oracle_k,selection_lift,oracle_lift,pct_idlekv_gt_b_match,pct_idlekv_lt_b_match,select_transfer_inject_ms,condition_a_lo,condition_a_hi,condition_b_lo,condition_b_hi,b_match_lo,b_match_hi,idlekv_lo,idlekv_hi,random_k_lo,random_k_hi,oldest_k_lo,oldest_k_hi,oracle_k_lo,oracle_k_hi
mq_niah_6q_split_356_to_124,32,0.9966666700000001,0.26999974,0.26999975,0.42666656000000003,0.26999974,0.26333308,0.67666699,0.156667,0.406667,0.4,0.01,15.060722,0.9900000099999999,1.0,0.23999976974999981,0.2966663699999998,0.23999976974999981,0.2967497717499997,0.3866664995000001,0.4699999002500002,0.23999976999999983,0.2966663899999998,0.23666642999999982,0.28666640999999976,0.6666669999999988,0.690000309999999
mq_niah_6q_split_356_to_124,48,0.9966666700000001,0.26999974,0.27666641,0.50999998,0.27333308,0.2666664,1.0,0.233334,0.723334,0.53,0.02,15.129941,0.98991667675,1.0,0.2433330899999998,0.2934164414999997,0.24666642999999983,0.30333308024999983,0.45999996975000035,0.5500833719999998,0.2433330899999998,0.30333304024999974,0.23666642999999982,0.29333303999999977,1.0,1.0
mq_niah_6q_split_356_to_124,64,0.9966666700000001,0.26999974,0.27333308,0.65333345,0.26666640999999996,0.25666641,1.0,0.38,0.726667,0.83,0.0,17.606407,0.9900000099999999,1.0,0.23999977974999986,0.29666640049999976,0.24658308749999983,0.2999997399999998,0.6100001292499991,0.69333346025,0.2399997599999998,0.29333303999999977,0.22999976999999983,0.28333304999999975,1.0,1.0
mq_niah_6q_split_356_to_124,80,0.9966666700000001,0.26999974,0.27666641,0.82000015,0.27333306999999996,0.26333307,1.0,0.543334,0.723334,0.98,0.0,16.891128,0.9900000099999999,1.0,0.2433330899999998,0.29666638024999975,0.2499997597499998,0.30333306024999973,0.7866667999999999,0.8566667902499999,0.24666642999999983,0.29999971999999975,0.23666642999999982,0.2899997099999998,1.0,1.0
mq_niah_6q_split_356_to_124,96,0.9966666700000001,0.26999974,0.28999974,0.99333334,0.28333308,0.2666664,1.0,0.703334,0.71,1.0,0.0,15.26921,0.9900000099999999,1.0,0.2433330899999998,0.2966663999999998,0.2599997699999998,0.3166663899999998,0.9833333500000001,1.0,0.2566664299999998,0.3099997499999998,0.2399997599999998,0.2899997099999998,1.0,1.0
mq_niah_6q_split_356_to_124,128,0.9966666700000001,0.26999974,0.29333307,0.9966666700000001,0.27333308,0.25666641,1.0,0.703334,0.706667,1.0,0.0,15.4098,0.9900000099999999,1.0,0.23999976974999981,0.2966663799999998,0.26999972999999977,0.3199997499999998,0.9900000099999999,1.0,0.24666641999999983,0.29999974024999976,0.22999976999999983,0.28333304999999975,1.0,1.0
mq_niah_6q_split_456_to_123,8,1.0,0.20999979,0.20999979,0.22999976999999996,0.20666646,0.22666643999999997,0.32999967999999996,0.02,0.12,0.08,0.02,17.293478,1.0,1.0,0.1799998199999999,0.2399997599999998,0.1766664899999999,0.2399997599999998,0.19666646999999987,0.2599997399999998,0.1733331599999999,0.23666642999999982,0.19666646999999987,0.2533330799999998,0.31999967999999973,0.3399996899999999
mq_niah_6q_split_456_to_123,16,1.0,0.20999979,0.20333313,0.27333319,0.20666646,0.20666646,0.49333333,0.07,0.29,0.22,0.04,15.324355,1.0,1.0,0.1766664899999999,0.2433330899999998,0.1733331599999999,0.23333309999999982,0.23333316974999987,0.3166665099999999,0.1766664899999999,0.23666642999999982,0.1733331599999999,0.2399997599999998,0.45999993000000017,0.5266667199999999
mq_niah_6q_split_456_to_123,24,1.0,0.20999979,0.20999979,0.32666660000000003,0.20999980000000001,0.22333310999999997,0.67000033,0.116667,0.460001,0.31,0.03,15.002283,1.0,1.0,0.1766664899999999,0.2399997599999998,0.1766664899999999,0.2433330899999998,0.2799998999999999,0.37666664,0.1733331697499999,0.2433330999999998,0.18999980999999988,0.2533330799999998,0.6666669999999988,0.676666989999999
mq_niah_6q_split_456_to_123,32,1.0,0.20999979,0.20666646,0.34333328,0.21333312,0.20333313,0.67666699,0.136667,0.470001,0.35,0.04,17.79784,1.0,1.0,0.1766664899999999,0.2399997599999998,0.1733331599999999,0.23666642999999982,0.2966665997499999,0.3966666300000001,0.1833331499999999,0.2433330899999998,0.1699998299999999,0.23666642999999982,0.6666669999999988,0.6900003099999991
