task,k,condition_a,condition_b,b_match,idlekv,random_k,oldest_k,oracle_k,selection_lift,oracle_lift,pct_idlekv_gt_b_match,pct_idlekv_lt_b_match,select_transfer_inject_ms,condition_a_lo,condition_a_hi,condition_b_lo,condition_b_hi,b_match_lo,b_match_hi,idlekv_lo,idlekv_hi,idlekv_coverage,idlekv_coverage_lo,idlekv_coverage_hi,idlekv_mmr,idlekv_mmr_lo,idlekv_mmr_hi,wrong_q_k,wrong_q_k_lo,wrong_q_k_hi,stale_q_k,stale_q_k_lo,stale_q_k_hi,contrastive_q_k,contrastive_q_k_lo,contrastive_q_k_hi,random_k_lo,random_k_hi,oldest_k_lo,oldest_k_hi,oracle_k_lo,oracle_k_hi
mq_niah_8q_split_2678_to_1345,16,0.9583333333333334,0.5104166666666666,0.5208333333333334,0.5104166666666666,0.5208333333333334,0.5208333333333334,0.6458333333333334,-0.010417,0.125,0.0,0.041667,15.54814,0.9166666666666666,0.9895833333333334,0.5,0.53125,0.5,0.5520833333333334,0.5,0.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5520833333333334,0.5,0.5520833333333334,0.59375,0.6875
mq_niah_8q_split_2678_to_1345,24,0.9583333333333334,0.5104166666666666,0.5208333333333334,0.5104166666666666,0.5104166666666666,0.5208333333333334,0.7604166666666666,-0.010417,0.239583,0.0,0.041667,15.261045,0.9166666666666666,0.9895833333333334,0.5,0.53125,0.5,0.5520833333333334,0.5,0.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.53125,0.5,0.5520833333333334,0.75,0.78125
mq_niah_8q_split_2678_to_1345,32,0.9583333333333334,0.5104166666666666,0.5208333333333334,0.5520833333333334,0.5208333333333334,0.5208333333333334,0.7604166666666666,0.03125,0.239583,0.125,0.0,15.235522,0.9166666666666666,0.9895833333333334,0.5,0.53125,0.5,0.5520833333333334,0.5104166666666666,0.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5520833333333334,0.5,0.5520833333333334,0.75,0.78125
mq_niah_8q_split_2678_to_1345,48,0.9583333333333334,0.5104166666666666,0.5104166666666666,0.5520833333333334,0.5104166666666666,0.5208333333333334,0.9791666666666666,0.041667,0.46875,0.291667,0.083333,15.439072,0.9166666666666666,0.9895833333333334,0.5,0.53125,0.5,0.53125,0.4583333333333333,0.6354166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.53125,0.5,0.5520833333333334,0.9479166666666666,1.0
mq_niah_8q_split_2678_to_1345,64,0.9583333333333334,0.5104166666666666,0.5208333333333334,0.7395833333333334,0.5208333333333334,0.5104166666666666,0.9791666666666666,0.21875,0.458333,0.791667,0.0,15.57774,0.9166666666666666,0.9895833333333334,0.5,0.53125,0.5,0.5520833333333334,0.6979166666666666,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5520833333333334,0.5,0.53125,0.9479166666666666,1.0
mq_niah_8q_split_2678_to_1345,80,0.9583333333333334,0.5104166666666666,0.5104166666666666,0.8958333333333334,0.5208333333333334,0.5208333333333334,0.9791666666666666,0.385417,0.46875,1.0,0.0,15.508307,0.9166666666666666,0.9895833333333334,0.5,0.53125,0.5,0.53125,0.84375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5520833333333334,0.5,0.5520833333333334,0.9479166666666666,1.0
mq_niah_8q_split_2678_to_1345,96,0.9583333333333334,0.5104166666666666,0.5104166666666666,0.9583333333333334,0.53125,0.5104166666666666,0.9791666666666666,0.447917,0.46875,1.0,0.0,15.498513,0.9166666666666666,0.9895833333333334,0.5,0.53125,0.5,0.53125,0.9166666666666666,0.9895833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5625,0.5,0.53125,0.9479166666666666,1.0
mq_niah_8q_split_2678_to_1345,128,0.9583333333333334,0.5104166666666666,0.5208333333333334,0.96875,0.5208333333333334,0.5104166666666666,0.9791666666666666,0.447917,0.458333,0.958333,0.0,15.930753,0.9166666666666666,0.9895833333333334,0.5,0.53125,0.5,0.5520833333333334,0.9375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5520833333333334,0.5,0.53125,0.9479166666666666,1.0
mq_niah_8q_split_3678_to_1245,8,1.0,0.6458333333333334,0.6354166666666666,0.6458333333333334,0.6354166666666666,0.6354166666666666,0.6875,0.010417,0.052083,0.041667,0.0,17.355966,1.0,1.0,0.59375,0.6877604166666664,0.59375,0.6770833333333334,0.59375,0.6979166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.6875,0.5833333333333334,0.6875,0.6354166666666666,0.7395833333333334
mq_niah_8q_split_3678_to_1245,16,1.0,0.6458333333333334,0.6354166666666666,0.6666666666666666,0.6354166666666666,0.6354166666666666,0.7604166666666666,0.03125,0.125,0.125,0.0,15.5431,1.0,1.0,0.59375,0.6979166666666666,0.5833333333333334,0.6770833333333334,0.6145833333333334,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.6875,0.5833333333333334,0.6875,0.75,0.78125
