candidate_tokens,k,query_len,chunk_tokens,candidate_chunks,source_pool_chunks,host_pool_tokens,host_pool_coverage,trials,device,dtype,n_layers,n_query_heads,n_kv_heads,head_dim,key_bytes_per_token,streamed_key_bytes,offloaded_kv_bytes,selected_kv_bytes,pin_memory_requested,pin_memory_effective,p50_scan_ms,p95_scan_ms,p99_scan_ms,p50_topk_ms,p95_topk_ms,p99_topk_ms,p50_total_ms,p95_total_ms,p99_total_ms,mean_total_ms
524288,96,64,16384,32,32,524288,1.0,80,cuda,bfloat16,28,28,4,128,28672,15032385536,30064771072,5505024,True,True,577.7419080259278,588.004246877972,591.5233435528353,0.1579170348122716,0.1714547048322856,0.1758215832524,577.901721582748,588.1648256792687,591.6816415009089,579.0102580969688
524288,512,64,16384,32,32,524288,1.0,80,cuda,bfloat16,28,28,4,128,28672,15032385536,30064771072,29360128,True,True,577.7419080259278,588.004246877972,591.5233435528353,0.1181290717795491,0.12729357695207,0.1326557737775146,577.8598251054063,588.1233812426217,591.6408891766332,578.9709827571642
524288,1024,64,16384,32,32,524288,1.0,80,cuda,bfloat16,28,28,4,128,28672,15032385536,30064771072,58720256,True,True,577.7419080259278,588.004246877972,591.5233435528353,0.1140360254794359,0.1228445558808744,0.1261805742979049,577.8551750117913,588.1196702015586,591.6387901059352,578.9670823112829
524288,5000,64,16384,32,32,524288,1.0,80,cuda,bfloat16,28,28,4,128,28672,15032385536,30064771072,286720000,True,True,577.7419080259278,588.004246877972,591.5233435528353,0.112444395199418,0.1225210144184529,0.1265596318989992,577.8546964284033,588.1196334725246,591.637928080745,578.9656597888097
1048576,96,64,16384,64,64,1048576,1.0,80,cuda,bfloat16,28,28,4,128,28672,30064771072,60129542144,5505024,True,True,1155.514579033479,1183.613819256425,1183.757123958785,0.1860484480857849,0.1967290882021188,0.2093417034484445,1155.697409529239,1183.805748191662,1183.9469819469375,1158.8193620904349
1048576,512,64,16384,64,64,1048576,1.0,80,cuda,bfloat16,28,28,4,128,28672,30064771072,60129542144,29360128,True,True,1155.514579033479,1183.613819256425,1183.757123958785,0.1460399944335222,0.153980019968003,0.1607135985977947,1155.6617660680786,1183.7677526753396,1183.9096029358916,1158.7800259323558
1048576,1024,64,16384,64,64,1048576,1.0,80,cuda,bfloat16,28,28,4,128,28672,30064771072,60129542144,58720256,True,True,1155.514579033479,1183.613819256425,1183.757123958785,0.1425765221938491,0.1494491123594343,0.1536355633288621,1155.6555185234174,1183.7626864435151,1183.9061057334766,1158.7761665374271
1048576,5000,64,16384,64,64,1048576,1.0,80,cuda,bfloat16,28,28,4,128,28672,30064771072,60129542144,286720000,True,True,1155.514579033479,1183.613819256425,1183.757123958785,0.1427305396646261,0.1515426090918481,0.1596791413612663,1155.6589240208268,1183.7619422469288,1183.9061573753131,1158.7765919568485
2097152,96,64,16384,128,128,2097152,1.0,80,cuda,bfloat16,28,28,4,128,28672,60129542144,120259084288,5505024,True,True,2309.915747027844,2367.249298945535,2367.838794423733,0.1983048859983682,0.2171336440369486,0.2401147666387258,2310.113185085356,2367.4595232121646,2368.038037235383,2318.6153926013503
2097152,512,64,16384,128,128,2097152,1.0,80,cuda,bfloat16,28,28,4,128,28672,60129542144,120259084288,29360128,True,True,2309.915747027844,2367.249298945535,2367.838794423733,0.1488348934799432,0.1604870660230517,0.1618200680240988,2310.0643679499626,2367.409468034748,2367.996912812814,2318.566065339837
2097152,1024,64,16384,128,128,2097152,1.0,80,cuda,bfloat16,28,28,4,128,28672,60129542144,120259084288,58720256,True,True,2309.915747027844,2367.249298945535,2367.838794423733,0.1453299773856997,0.1558779156766832,0.1566936960443854,2310.062115895562,2367.4058165983297,2367.9934919183142,2318.562428205041
2097152,5000,64,16384,128,128,2097152,1.0,80,cuda,bfloat16,28,28,4,128,28672,60129542144,120259084288,286720000,True,True,2309.915747027844,2367.249298945535,2367.838794423733,0.1455225283280015,0.1554655726067721,0.1563661359250545,2310.06135744974,2367.404046584852,2367.9927579080686,2318.562301891506
4194304,96,64,16384,256,256,4194304,1.0,80,cuda,bfloat16,28,28,4,128,28672,120259084288,240518168576,5505024,True,True,4613.046067068353,4623.852161620744,4679.664370599203,0.2280435292050242,0.2370380912907421,0.2404155721887945,4613.264618557878,4624.081316799857,4679.900855822489,4616.367528127739
4194304,512,64,16384,256,256,4194304,1.0,80,cuda,bfloat16,28,28,4,128,28672,120259084288,240518168576,29360128,True,True,4613.046067068353,4623.852161620744,4679.664370599203,0.1717129489406943,0.1773681142367422,0.183555248659104,4613.21600410156,4624.023625859991,4679.840818583034,4616.313486642321
4194304,1024,64,16384,256,256,4194304,1.0,80,cuda,bfloat16,28,28,4,128,28672,120259084288,240518168576,58720256,True,True,4613.046067068353,4623.852161620744,4679.664370599203,0.1680379500612616,0.1722405315376818,0.1797200180590152,4613.21362585295,4624.019197700545,4679.833727781661,4616.309769597137
4194304,5000,64,16384,256,256,4194304,1.0,80,cuda,bfloat16,28,28,4,128,28672,120259084288,240518168576,286720000,True,True,4613.046067068353,4623.852161620744,4679.664370599203,0.1684828894212842,0.1750115770846605,0.1829275186173616,4613.2191478973255,4624.0202486515045,4679.837958610151,4616.3104931940325
