task,k,n,condition_b_overlap,b_match_overlap,idlekv_overlap,wrong_q_k_overlap,stale_q_k_overlap,contrastive_q_k_overlap,random_k_overlap,oldest_k_overlap,oracle_k_overlap
mq_niah_8q_split_4678_to_1235,8,24,0.45878620833333333,0.45878620833333333,0.45878620833333333,0.4587862318840579,0.4587862318840579,0.4587862318840579,0.45878620833333333,0.45878620833333333,0.46557966666666667
mq_niah_8q_split_4678_to_1235,16,24,0.45878620833333333,0.459692,0.47373187499999997,0.4587862318840579,0.4587862318840579,0.4587862318840579,0.45878620833333333,0.45878620833333333,0.5520833333333334
mq_niah_8q_split_4678_to_1235,24,24,0.45878620833333333,0.4601449166666667,0.49999991666666666,0.4587862318840579,0.4587862318840579,0.4587862318840579,0.45878620833333333,0.45878620833333333,0.6222825416666666
mq_niah_8q_split_4678_to_1235,32,24,0.45878620833333333,0.4601449166666667,0.5067934583333333,0.4587862318840579,0.4587862318840579,0.4587862318840579,0.45878620833333333,0.45878620833333333,0.6879527916666667
mq_niah_8q_split_4678_to_1235,48,24,0.45878620833333333,0.4605978333333333,0.557518125,0.4587862318840579,0.4587862318840579,0.4587862318840579,0.4592390833333333,0.45878620833333333,0.8269926666666666
mq_niah_8q_split_4678_to_1235,64,24,0.45878620833333333,0.4619565833333333,0.6082427083333334,0.4587862318840579,0.4587862318840579,0.4587862318840579,0.45878620833333333,0.45878620833333333,0.9044383333333333
mq_niah_8q_split_4678_to_1235,80,24,0.45878620833333333,0.4619565833333333,0.6865941666666666,0.4587862318840579,0.4587862318840579,0.4587862318840579,0.466032625,0.45878620833333333,0.9044383333333333
mq_niah_8q_split_4678_to_1235,96,24,0.45878620833333333,0.46240945833333336,0.7767210833333333,0.4587862318840579,0.4587862318840579,0.4587862318840579,0.4701086666666667,0.45878620833333333,0.9044383333333333
mq_niah_8q_split_4678_to_1235,128,24,0.45878620833333333,0.46240945833333336,0.8328805416666666,0.4587862318840579,0.4587862318840579,0.4587862318840579,0.46739129166666665,0.45878620833333333,0.9044383333333333
mq_niah_8q_split_5678_to_1234,8,24,0.45652175,0.45697462499999997,0.45652175,0.4565217391304348,0.4565217391304348,0.4565217391304348,0.45652175,0.45652175,0.4583333333333333
mq_niah_8q_split_5678_to_1234,16,24,0.45652175,0.45697462499999997,0.47237320833333335,0.4565217391304348,0.4565217391304348,0.4565217391304348,0.45652175,0.45652175,0.5475543333333334
mq_niah_8q_split_5678_to_1234,24,24,0.45652175,0.45697462499999997,0.49682975,0.4565217391304348,0.4565217391304348,0.4565217391304348,0.45652175,0.45652175,0.60597825
mq_niah_8q_split_5678_to_1234,32,24,0.45652175,0.45697462499999997,0.504981875,0.4565217391304348,0.4565217391304348,0.4565217391304348,0.45652175,0.45652175,0.6757245833333333
